instant_book,rating_checkin,person_capacity,rating_value,is_superhost,amenities,rev_count,cancel_policy,price,nightly_price,rating_cleanliness,host_id,response_time,bed_type,accuracy_rating,rating_communication,satisfaction_guest,hosting_id,url,rating_location,response_rate,room_type
False,10,1,10,True,"[1, 3, 4, 8, 9, 11, 12, 14, 21, 28, 31, 33, 39, 40, 41, 43]",17,5,12.819732131697108,R$40,10,11131497,776.0,Real Bed,10,10,98,5677723,https://www.airbnb.com.br/rooms/5677723,10,1.0,Private room
True,10,4,9,False,"[1, 2, 3, 4, 5, 7, 8, 9, 14, 21, 28, 30, 31, 39, 40, 43, 44, 45, 46, 47]",8,5,48.07399549386415,R$150,10,54599073,1914.0,Real Bed,10,10,98,15536363,https://www.airbnb.com.br/rooms/15536363,10,1.0,Entire home/apt
True,10,3,10,False,"[1, 4, 5, 7, 8, 9, 11, 21, 31, 40, 47]",1,5,40.06166291155346,R$125,8,97211456,4161.5,Real Bed,10,10,100,15276902,https://www.airbnb.com.br/rooms/15276902,10,1.0,Entire home/apt
True,,5,,False,"[1, 4, 5, 8, 9, 15, 21, 31, 33, 34, 40]",0,3,48.07399549386415,R$150,,39163198,1298.5,Real Bed,,,,17281387,https://www.airbnb.com.br/rooms/17281387,,1.0,Private room
False,10,3,10,True,"[1, 3, 4, 8, 21, 31, 33, 40, 44, 46, 47, 49, 50]",33,5,16.024665164621386,R$50,9,60097777,2106.0,Real Bed,9,10,95,11965268,https://www.airbnb.com.br/rooms/11965268,10,1.0,Private room
False,,5,,False,"[1, 4, 5, 7, 8, 9, 21, 31, 39]",0,3,30.44686381278063,R$95,,111855788,1069.0,Real Bed,,,,16815486,https://www.airbnb.com.br/rooms/16815486,,1.0,Entire home/apt
True,,1,,False,"[4, 8, 39, 40, 42, 44, 45, 46, 47, 49, 50]",0,5,16.345158467913812,R$51,,56454890,6744.0,Real Bed,,,,16645901,https://www.airbnb.com.br/rooms/16645901,,1.0,Private room
False,10,2,10,False,"[1, 4, 5, 7, 8, 9, 11, 21, 28, 31, 42, 44]",7,4,32.04933032924277,R$100,9,91869756,73488.0,Real Bed,10,9,97,15600108,https://www.airbnb.com.br/rooms/15600108,9,0.6000000238418579,Entire home/apt
True,10,5,9,False,"[1, 4, 5, 7, 8, 9, 11, 12, 21, 31, 40, 44, 46, 47]",23,3,43.0,R$134,10,80786602,32600.5,Real Bed,10,10,97,13769913,https://www.airbnb.com.br/rooms/13769913,10,0.800000011920929,Entire home/apt
True,10,2,10,False,"[1, 4, 5, 8, 39, 40, 42, 49, 50]",2,3,31.72883702595034,R$99,10,103884155,,Real Bed,10,10,100,17041518,https://www.airbnb.com.br/rooms/17041518,10,,Entire home/apt
